,lag_1,lag_2,lag_3,lag_4,lag_5
lag_1,0.0,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
lag_2,-1.3877787807814457e-17,0.0,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17
lag_3,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,-1.3877787807814457e-17,-1.3877787807814457e-17
lag_4,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0,-1.3877787807814457e-17
lag_5,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,-1.3877787807814457e-17,0.0
