first,second,interaction,interpretation
market_loss_1d,term_spread_10y_2y_pct,-3.013464646605924e-17,redundant
market_loss_1d,realized_volatility_20d,-2.9597708247304535e-17,redundant
market_loss_1d,lagged_portfolio_loss_1d,-2.7218658908822056e-17,redundant
realized_volatility_20d,lagged_portfolio_loss_1d,-2.264780022608951e-17,redundant
realized_volatility_20d,term_spread_10y_2y_pct,-2.2534905523684672e-17,redundant
term_spread_10y_2y_pct,lagged_portfolio_loss_1d,-2.123248615203859e-17,redundant
realized_volatility_20d,liquidity_stress_20d,-2.0108357804312352e-17,redundant
liquidity_stress_20d,lagged_portfolio_loss_1d,-1.9868800752867937e-17,redundant
vix,term_spread_10y_2y_pct,1.809182781128077e-17,complementary
market_loss_1d,liquidity_stress_20d,-1.5812852054274547e-17,redundant
drawdown_severity,liquidity_stress_20d,1.4956224778271663e-17,complementary
liquidity_stress_20d,baa_credit_spread_pct,1.4893625009979347e-17,complementary
