asset,model,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count
AAPL,Choquet 1-additive,0.0003766286527195416,0.019406922803977492,0.014344512745914756,0.015154680101384356,0.03151911466304014,0.6742125411919967,0.010644056953021428,0.024841499998728978,0.023453699999663513,8
AAPL,Monotone linear,0.0002324010786187987,0.01524470657699907,0.01084030729746448,0.01169582209556092,0.4023927793364077,0.710920719405376,0.010261278300295605,0.007488000001103501,0.004327000000557746,8
AAPL,OLS,0.0002435224322654829,0.015605205293923015,0.011031304999613932,0.011800708006039605,0.37379480000553966,0.6936493587363626,0.009637634170759607,0.007917999999335734,0.005118900000525173,8
AAPL,OLS oriented,0.0002435224322654829,0.015605205293923015,0.011031304999613932,0.011800708006039605,0.37379480000553966,0.6936493587363626,0.009637634170759607,0.005935400000453228,0.004142400001001079,8
AMZN,Choquet 1-additive,0.0006814249236104807,0.026104116985841155,0.02022590213592277,0.021632702903112918,-0.37747910558952213,0.7207501743704519,0.01062637693443963,0.02096239999991667,0.018923699999504606,8
AMZN,Monotone linear,0.00024998083063019913,0.015810782100522388,0.011805388492885517,0.012587248611851875,0.49467159321597143,0.7801174267502247,0.007347055356971934,0.007100900000295951,0.0037868999988859287,8
AMZN,OLS,0.0002601476556536415,0.01612909345417905,0.012192650782038097,0.01290342136591051,0.47411967538212674,0.7810717194153749,0.0070765031431505535,0.004705699999249191,0.003274500000770786,8
AMZN,OLS oriented,0.0002601476556536415,0.01612909345417905,0.012192650782038097,0.01290342136591051,0.47411967538212674,0.7810717194153749,0.0070765031431505535,0.006090799999583396,0.004538799999863841,8
JPM,Choquet 1-additive,0.0001914803325561136,0.013837641871219011,0.009423227890198215,0.010880801049962639,0.4895176095944259,0.7242892511159704,0.0062296484529918445,0.02377599999999802,0.016006800000468502,8
JPM,Monotone linear,0.00011788924576281126,0.01085768141744872,0.0063609530226247345,0.007860773332233489,0.6857098419626249,0.833136045389862,0.005025481212774064,0.006292199999734294,0.004034699999465374,8
JPM,OLS,0.00011218892392336882,0.010591927299758472,0.005983100457716701,0.007482347698951575,0.7009067756624706,0.8445426789058867,0.004847938890581286,0.004711699999461416,0.0031030999998620246,8
JPM,OLS oriented,0.00011218892392336882,0.010591927299758472,0.005983100457716701,0.007482347698951575,0.7009067756624706,0.8445426789058867,0.004847938890581286,0.005953799998678733,0.00370900000052643,8
KO,Choquet 1-additive,0.00023339155623833363,0.015277157989571674,0.011428957954366822,0.01253343255518773,-0.4124592827042495,0.41973575821807785,0.008489555369916921,0.02153329999964626,0.0191357000003336,8
KO,Monotone linear,7.304010559298038e-05,0.008546350425355866,0.005524229985192432,0.0068795447877386855,0.5579695477536772,0.7622113932001776,0.008250363495717736,0.00627370000074734,0.004011299999547191,8
KO,OLS,7.233273764909437e-05,0.008504865527984224,0.00553994059549786,0.006826941403712648,0.5622504584889778,0.7598706208747072,0.008140662388039666,0.0045397000012599165,0.0030924999991839286,8
KO,OLS oriented,7.233273764909437e-05,0.008504865527984224,0.00553994059549786,0.006826941403712648,0.5622504584889778,0.7598706208747072,0.008140662388039666,0.008129100000587641,0.006085900000471156,8
MSFT,Choquet 1-additive,0.0004209309883533112,0.020516602748830305,0.015172817474772506,0.016209855052225587,-0.14748593102300278,0.6823766793978312,0.007416331442850497,0.017425900001398986,0.01352020000012999,8
MSFT,Monotone linear,0.00016573269736314483,0.012873721193312555,0.008186226262643191,0.009041613879242955,0.5482016202259827,0.7614842426493434,0.005987201408527101,0.006346000000121421,0.003976600000896724,8
MSFT,OLS,0.00015975625480672286,0.01263947209367238,0.008049830628041849,0.008941206821241974,0.5644938009891274,0.7701628905459544,0.0063179631936806264,0.004935299999488052,0.0037243999995553168,8
MSFT,OLS oriented,0.00015975625480672286,0.01263947209367238,0.008049830628041849,0.008941206821241974,0.5644938009891274,0.7701628905459544,0.0063179631936806264,0.007960700000694487,0.004164199999650009,8
