first,second,interaction,interpretation
Rolling prior probability,MLP [unweighted],3.004024117735062e-16,complementary
Rolling prior probability,RBF SVM [unweighted],2.116881129348744e-16,complementary
Logistic oriented [unweighted],Random forest [unweighted],-1.7949965013439364e-16,redundant
Explicit interactions [unweighted],Random forest [unweighted],-1.6446461934267368e-16,redundant
RBF SVM [unweighted],MLP [unweighted],1.6396512954637887e-16,complementary
Logistic [unweighted],Explicit interactions [unweighted],1.6254973697376671e-16,complementary
Penalized logistic [unweighted],MLP [unweighted],-1.6109458252622857e-16,redundant
RBF SVM [unweighted],Gradient boosting [unweighted],-1.4244322832322136e-16,redundant
Explicit interactions [unweighted],Gradient boosting [unweighted],-1.2625868695302164e-16,redundant
Random forest [unweighted],MLP [unweighted],1.1882984749567138e-16,complementary
Rolling prior probability,Logistic [unweighted],1.1788480724134666e-16,complementary
Logistic [unweighted],RBF SVM [unweighted],9.778931357620755e-17,complementary
