model,fit observations,extreme fit observations removed,extreme fit rate,test observations,stress test observations,full-fit test RMSE,reduced-fit test RMSE,test RMSE change,mean absolute prediction change,maximum absolute prediction change,full-fit stress RMSE,reduced-fit stress RMSE,stress mean absolute prediction change,failure
OLS,1253,119,0.09497206703910614,143,82,0.007619226506388485,0.007629207197060666,9.980690672181484e-06,0.0006451969229585664,0.00200245085976078,0.008388900402311092,0.008309634612179439,0.0006266679577514169,
Ridge,1253,119,0.09497206703910614,143,82,0.007597924329653405,0.00762057702570072,2.2652696047315013e-05,0.0006074926335487593,0.0019479339368480748,0.008354360317920171,0.008294820708102698,0.0005844188628258114,
Lasso,1253,119,0.09497206703910614,143,82,0.007412119763278955,0.007411554508904151,-5.652543748034533e-07,0.00012828860054471688,0.00012828860054471688,0.00795915906793834,0.007973960719659333,0.00012828860054471688,
Monotone linear,1253,119,0.09497206703910614,143,82,0.007423690144371833,0.0074535302412663,2.9840096894467004e-05,0.00027232255692571396,0.0007113933645101012,0.00797808320485636,0.008029941755139281,0.0002334968017317792,
Gradient boosting,1253,119,0.09497206703910614,143,82,0.007462616834155319,0.007620562704799583,0.00015794587064426463,0.0013915219381871818,0.005367674707208078,0.007826180874382919,0.00820642641744771,0.00183262677857868,
Choquet 1-additive,1253,119,0.09497206703910614,143,82,0.008877850309667985,0.00840538595553434,-0.00047246435413364485,0.0013599179441896464,0.004993989014157709,0.009371954726124945,0.008931745295781245,0.0012169488554060568,
Choquet 1-additive scaled-q,1253,119,0.09497206703910614,143,82,0.007412119763278955,0.007411554508904151,-5.652543748034533e-07,0.00012828860054471688,0.00012828860054471688,0.00795915906793834,0.007973960719659333,0.00012828860054471688,
Choquet 2-additive,1253,119,0.09497206703910614,143,82,0.008932559098890997,0.008348174772700187,-0.0005843843261908108,0.0017235657479168743,0.006301910650325479,0.009406042444145966,0.008896566107946743,0.0016075128438201194,
Choquet 2-additive L1,1253,119,0.09497206703910614,143,82,0.008879483764689304,0.008422319085827417,-0.00045716467886188633,0.0012728374158356927,0.004559475096429696,0.009373235656743894,0.008956742912511506,0.0011443138776758466,
Choquet 2-additive scaled-q,1253,119,0.09497206703910614,143,82,0.007412119763278955,0.007411554508904151,-5.652543748034533e-07,0.00012828860054471688,0.00012828860054471688,0.00795915906793834,0.007973960719659333,0.00012828860054471688,
Choquet 2-additive scaled-q L1,1253,119,0.09497206703910614,143,82,0.007412119763278955,0.007411554508904151,-5.652543748034533e-07,0.00012828860054471688,0.00012828860054471688,0.00795915906793834,0.007973960719659333,0.00012828860054471688,
