asset,model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
AAPL,Choquet 1-additive,rolling_5y,0.00014811850366707577,0.012170394556754345,0.008600016481124854,0.010004265903577466,0.6196233649989243,0.7877113306647583,0.011133249132414586,0.22129079996375367,0.1021096000331454,8,7
AAPL,Choquet 1-additive scaled-q,rolling_5y,0.00023500344279234043,0.01532982200784929,0.011177170107084846,0.012827465483477319,0.39649796230767564,0.6546303658330639,0.014399778957946576,0.06814370001666248,0.04067689995281398,9,7
AAPL,Choquet 2-additive,rolling_5y,0.0001507017139927394,0.01227606264209903,0.00868216048101405,0.01012097254992689,0.6129895358226283,0.7845755728990642,0.011192840111058115,0.39797069993801415,0.32789859996410087,29,7
AAPL,Choquet 2-additive L1,rolling_5y,0.00015858682748189036,0.012593126199712697,0.008896541844192073,0.010333389933584503,0.5927401215945021,0.7725399320537517,0.011063801941168046,1.7229333000141196,0.4068727999692783,29,7
AAPL,Choquet 2-additive scaled-q,rolling_5y,0.00022195788700816576,0.014898251139250062,0.010713085522021808,0.012289601602190798,0.4299996821336922,0.6861129363985295,0.013209254433268841,0.08134209993295372,0.06177979981293902,30,7
AAPL,Choquet 2-additive scaled-q L1,rolling_5y,0.00022182653116388615,0.01489384205515441,0.010699919898741295,0.01226688022536564,0.43033701131808033,0.6861897838687997,0.01321096445104843,0.30637560004834086,0.07211859995732084,30,7
AAPL,Elastic net,rolling_5y,0.00014371562732733777,0.01198814528304265,0.008669482529966743,0.009672673976114824,0.6309301986825788,0.8053892107565355,0.010528612406835933,0.29578430007677525,0.017424400022719055,8,7
AAPL,Lasso,rolling_5y,0.00014738173377929018,0.012140087881860254,0.00857053192619135,0.00992465992404499,0.6215154314440183,0.7928239150299797,0.010349060070127479,0.10581500001717359,0.01646499993512407,8,7
AAPL,Monotone linear,rolling_5y,0.00015365571343208377,0.012395794183193096,0.00884249653122984,0.009957149643264693,0.6054034993807638,0.7894432506130098,0.011201617897520848,0.03699740004958585,0.02189499989617616,8,7
AAPL,OLS,rolling_5y,0.0001466751621883009,0.012110952158616633,0.008808364502875457,0.009752597268637513,0.6233299469671562,0.8029234011237261,0.010820363567140192,0.039242600032594055,0.015661000041291118,8,7
AAPL,OLS oriented,rolling_5y,0.0001466751621883009,0.012110952158616633,0.008808364502875457,0.009752597268637513,0.6233299469671562,0.8029234011237261,0.010820363567140192,0.03471270005684346,0.020644199976231903,8,7
AAPL,Ridge,rolling_5y,0.00014585400021274397,0.012077002948279179,0.0087973441088409,0.009759302435070071,0.6254387370326786,0.8046205192455917,0.01065879567941273,0.10346669994760305,0.0149167999625206,8,7
AMZN,Choquet 1-additive,rolling_5y,0.0001830774123742734,0.013530610199627858,0.009521045294046182,0.010879641403327044,0.6302063332596506,0.7944956680591752,0.012611880297165421,0.11338739999337122,0.09644369996385649,8,7
AMZN,Choquet 1-additive scaled-q,rolling_5y,0.00027250189581952877,0.0165076314418371,0.012150380244142585,0.013818815665017395,0.4495799676106812,0.6922002596957565,0.01501055550187062,0.05303230002755299,0.03822829993441701,9,7
AMZN,Choquet 2-additive,rolling_5y,0.00017801764277678938,0.01334232523875765,0.009456931816678067,0.010738283302661144,0.6404264403064437,0.8007094031798435,0.012436963995452776,0.27491819992428645,0.2556684000301175,29,7
AMZN,Choquet 2-additive L1,rolling_5y,0.00017897168505921684,0.01337802993939006,0.009464484875416452,0.010719017143746859,0.6384993932214491,0.7999848954533397,0.012379725042053183,1.219086299999617,0.35452980000991374,29,7
AMZN,Choquet 2-additive scaled-q,rolling_5y,0.00024687224638953993,0.015712168736031953,0.011446904846213942,0.013060851163839265,0.5013486807308427,0.7297334804269494,0.01463113683404579,0.07199239998590201,0.06497379997745156,30,7
AMZN,Choquet 2-additive scaled-q L1,rolling_5y,0.0002646203950465029,0.01626715694417752,0.011892764101069387,0.013555605315922307,0.46549962166563275,0.7067062544142162,0.014633166811827506,0.28829230001429096,0.06537660007597879,30,7
AMZN,Elastic net,rolling_5y,0.00017728177667487334,0.013314720300286947,0.009478906471581868,0.01044885476915898,0.6419127985662008,0.8131699187255075,0.01222010499248099,0.22993090003728867,0.015905499982181937,8,7
AMZN,Lasso,rolling_5y,0.00017740483576562377,0.013319340665574395,0.009470697018920315,0.010481997962065656,0.6416642344653422,0.8114509916776774,0.012167482486115164,0.10798259993316606,0.015871800074819475,8,7
AMZN,Monotone linear,rolling_5y,0.00016972614791803333,0.01302789882974355,0.009500244800263576,0.010343742690623303,0.6571742315648754,0.8198135133571809,0.012087593730028013,0.03678519988898188,0.021386199921835214,8,7
AMZN,OLS,rolling_5y,0.00018188068153189997,0.013486314601547006,0.00966233384531116,0.01049016536882845,0.6326235811361818,0.8162825876294766,0.012509453670099856,0.025620399974286556,0.015381000004708767,8,7
AMZN,OLS oriented,rolling_5y,0.00018188068153189997,0.013486314601547006,0.00966233384531116,0.01049016536882845,0.6326235811361818,0.8162825876294766,0.012509453670099856,0.03482609998900443,0.020391300029587,8,7
AMZN,Ridge,rolling_5y,0.00018122739902588837,0.01346207261256187,0.009633618969146739,0.010470059468015257,0.6339431307746783,0.8160233174801738,0.012449325151966237,0.10100400005467236,0.015271099866367877,8,7
JPM,Choquet 1-additive,rolling_5y,0.00010688210112716744,0.01033838000497019,0.0067130311447479675,0.008133920325479155,0.7151348200161929,0.8505086562352488,0.008891657054096867,0.14123920002020895,0.11423569993348792,8,7
JPM,Choquet 1-additive scaled-q,rolling_5y,0.00029353535159773263,0.01713287341918257,0.011716571669409832,0.014665145362712701,0.21766133073104366,0.4967640965904705,0.014211259178418641,0.054750700015574694,0.03972680005244911,9,7
JPM,Choquet 2-additive,rolling_5y,0.00010060250021502875,0.010030079771119907,0.006358381077411308,0.00803498418957871,0.7318713888635299,0.8596363791588703,0.008748032600382384,0.4118913998827338,0.35567370004719123,29,7
JPM,Choquet 2-additive L1,rolling_5y,9.804917466441467e-05,0.00990197832074049,0.006381612718204497,0.007761365011306159,0.7386765838855434,0.8643409027311062,0.008499314001460456,1.6559689001296647,0.5851921000285074,29,7
JPM,Choquet 2-additive scaled-q,rolling_5y,0.00026557907446740566,0.016296597021077917,0.01072528830985821,0.013759898410990479,0.29217118628611505,0.5488700474813523,0.0125122020141,0.08927970001241192,0.06916129996534437,30,7
JPM,Choquet 2-additive scaled-q L1,rolling_5y,0.00028009234214700876,0.016735959552622276,0.011268099087382324,0.014310433892284542,0.25349001735227916,0.5189308788156859,0.01250773631641314,0.3166596000082791,0.06328019988723099,30,7
JPM,Elastic net,rolling_5y,5.999627772321928e-05,0.007745726416755195,0.005375132945926999,0.006376250811510129,0.8400962343390987,0.9170926336305397,0.007152688364924512,0.23583899991353974,0.016518100048415363,8,7
JPM,Lasso,rolling_5y,6.0111015900031306e-05,0.007753129426240175,0.005378606338983538,0.00638073721912466,0.8397904309253945,0.916908864188588,0.007155871357074039,0.1054150999407284,0.016274299996439368,8,7
JPM,Monotone linear,rolling_5y,9.190610787491967e-05,0.009586767331844435,0.005951991311682124,0.007216731076684068,0.7550492581517422,0.8732031003272678,0.008499137999539405,0.03952869988279417,0.02186120010446757,8,7
JPM,OLS,rolling_5y,6.004205710311922e-05,0.0077486809911829005,0.005385786458340947,0.006370921741249992,0.8399742218491008,0.9168830760958154,0.007160745762055826,0.027229399944189936,0.015261900087352842,8,7
JPM,OLS oriented,rolling_5y,6.004205710311922e-05,0.0077486809911829005,0.005385786458340947,0.006370921741249992,0.8399742218491008,0.9168830760958154,0.007160745762055826,0.0350355000118725,0.022330899955704808,8,7
JPM,Ridge,rolling_5y,5.991200034767946e-05,0.007740284254966316,0.005379179253102612,0.006370515080096672,0.8403208527691121,0.9171339560260141,0.007146232550191825,0.10451359988655895,0.01564000005600974,8,7
