model,base model,class weight,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,selection validation,0.6496414747128625,0.1414438170578399,0.06570397111913358,0.8921568627450981,0.12239408204438466,0.2206105505578766,0.6363003913710632,0.45999782341656115,0.061930783242258654,0.3980670401743025,0.3980670401743025,0.27878375043189946,0.840922890103218,0.061930783242258654,0.076484875655589,2.0126327000034507,1.8536353999952553,0.0,12.0,3486,0.06170047082785425,7
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,selection validation,0.6114569452376419,0.1319178410631544,0.07710651828298887,0.9509803921568627,0.1426470588235294,0.22243701740991986,0.6479109436633953,0.45191035630263,0.061930783242258654,0.38997957306037134,0.38997957306037134,0.20414345736542647,0.76381299332119,0.061930783242258654,0.0585908966968399,6.981502599970554,8.054321199975675,0.0,57.0,3486,0.06170047082785425,7
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,selection validation,0.5939970810330605,0.13101168174229852,0.06479113384484228,0.7450980392156863,0.1192156862745098,0.0575525636423539,0.2309133927341444,0.06108399662903432,0.061930783242258654,-0.0008467866132243346,0.0008467866132243346,0.05164231142139707,0.7122040072859745,0.061930783242258654,0.0705284083721929,2.018458299993654,1.804783799991128,0.0,12.0,3486,0.06170047082785425,7
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,selection validation,0.588879370518434,0.1261085233348539,0.07741420590582601,0.9509803921568627,0.14317343173431735,0.057223117329092,0.23280324791549023,0.06086748478019391,0.061930783242258654,-0.0010632984620647448,0.0010632984620647448,0.05911094130050266,0.7607771706132362,0.061930783242258654,0.05509411944772689,8.36568410001928,8.025948399998015,0.0,57.0,3486,0.06170047082785425,7
Logistic [balanced],Logistic,balanced,uncalibrated,selection validation,0.48461196776445203,0.06089096488815967,0.07065750736015702,0.7058823529411765,0.12845673505798394,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435,0.46041782840380385,0.6187006678809958,0.061930783242258654,0.09098603490887548,0.06549709998944309,0.04870360001223162,0.0,11.0,3486,0.06170047082785425,7
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,selection validation,0.48461196776445203,0.06089096488815967,0.07065750736015702,0.7058823529411765,0.12845673505798394,0.5543337421009689,2.075617250438771,0.7089293065496022,0.061930783242258654,0.6469985233073435,0.6469985233073435,0.46041782840380385,0.6187006678809958,0.061930783242258654,0.09098603490887548,0.07502260002365801,0.05495570000493899,0.0,11.0,3486,0.06170047082785425,7
Logistic [unweighted],Logistic,unweighted,uncalibrated,selection validation,0.4592169553905705,0.05689181992394278,0.06862044317369549,0.9411764705882353,0.1279147235176549,0.19691825164987597,0.5919078797264749,0.29525975413688255,0.061930783242258654,0.2333289708946239,0.2333289708946239,0.058346463946332694,0.8494231936854888,0.061930783242258654,0.07520721860112593,0.0606306000117911,0.04414389996964019,0.0,11.0,3486,0.06170047082785425,7
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,selection validation,0.4592169553905705,0.05689181992394278,0.06862044317369549,0.9411764705882353,0.1279147235176549,0.19691825164987597,0.5919078797264749,0.29525975413688255,0.061930783242258654,0.2333289708946239,0.2333289708946239,0.058346463946332694,0.8494231936854888,0.061930783242258654,0.07520721860112593,0.06866380001883954,0.05058220002683811,0.0,11.0,3486,0.06170047082785425,7
