,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,9.107130510984866e-19,5.695273972063713e-18,-4.773919128262509e-19,-1.3045169339775802e-18,-5.454504480212783e-19,-5.331681860807674e-19,1.5976017475578162e-20,-1.761099902022518e-20,4.966106027871854e-19
vix,9.107130510984866e-19,0.0,1.5957146612797464e-17,1.4734823810826807e-17,1.4693520870922598e-17,1.495579453931433e-17,-2.381802867809425e-19,1.5036335272127538e-17,3.931107277355076e-18,-5.805505248480956e-19
realized_volatility_20d,5.695273972063713e-18,1.5957146612797464e-17,0.0,6.329332583387508e-18,1.4291473173852e-17,1.3662760879026854e-17,6.273556310132969e-18,6.822700513689334e-18,-1.7610999020220725e-20,1.2896270489480112e-18
drawdown_severity,-4.773919128262509e-19,1.4734823810826807e-17,6.329332583387508e-18,0.0,1.450352734736322e-17,1.4464289554454235e-17,-2.961420791131824e-18,1.568066113463322e-17,1.2850824942439542e-17,1.2951945194295744e-19
liquidity_stress_20d,-1.3045169339775802e-18,1.4693520870922598e-17,1.4291473173852e-17,1.450352734736322e-17,0.0,1.5649683929705054e-17,1.4509722788348867e-17,1.4805038808663965e-17,1.3043909456577817e-17,-8.022127639767451e-19
baa_credit_spread_pct,-5.454504480212783e-19,1.495579453931433e-17,1.3662760879026854e-17,1.4464289554454235e-17,1.5649683929705054e-17,0.0,1.44580941134686e-17,1.4596458962147706e-17,1.8373734653093498e-17,4.2278858839222983e-19
term_spread_10y_2y_pct,-5.331681860807674e-19,-2.381802867809425e-19,6.273556310132969e-18,-2.961420791131824e-18,1.4509722788348867e-17,1.44580941134686e-17,0.0,-2.8168605014671045e-18,-5.660054771773229e-18,1.1616137383049627e-19
average_equity_correlation_60d,1.5976017475578162e-20,1.5036335272127538e-17,6.822700513689334e-18,1.568066113463322e-17,1.4805038808663965e-17,1.4596458962147706e-17,-2.8168605014671045e-18,0.0,1.3152846669294967e-17,-4.068910077308196e-20
negative_momentum_21d,-1.761099902022518e-20,3.931107277355076e-18,-1.7610999020220725e-20,1.2850824942439542e-17,1.3043909456577817e-17,1.8373734653093498e-17,-5.660054771773229e-18,1.3152846669294967e-17,0.0,2.3984399304934855e-19
lagged_portfolio_loss_1d,4.966106027871854e-19,-5.805505248480956e-19,1.2896270489480112e-18,1.2951945194295744e-19,-8.022127639767451e-19,4.2278858839222983e-19,1.1616137383049627e-19,-4.068910077308196e-20,2.3984399304934855e-19,0.0
