first,second,interaction,interpretation
Logistic oriented [unweighted],Penalized logistic [unweighted],3.3291110823569175e-16,complementary
Logistic [unweighted],RBF SVM [unweighted],-2.7615606062673106e-16,redundant
Logistic oriented [unweighted],RBF SVM [unweighted],2.551001636250471e-16,complementary
Logistic [unweighted],Penalized logistic [unweighted],-2.0176916900676577e-16,redundant
Penalized logistic [unweighted],Explicit interactions [unweighted],1.547207895470682e-16,complementary
Rolling prior probability,Logistic oriented [unweighted],-1.3142908630906326e-16,redundant
Rolling prior probability,Random forest [unweighted],-1.1279477349707195e-16,redundant
Penalized logistic [unweighted],MLP [unweighted],-1.0962731313475704e-16,redundant
Random forest [unweighted],MLP [unweighted],1.0931092888002495e-16,complementary
Rolling prior probability,Gradient boosting [unweighted],-9.697631884588551e-17,redundant
Logistic [unweighted],Explicit interactions [unweighted],8.746789088143437e-17,complementary
Gradient boosting [unweighted],MLP [unweighted],7.980952962331999e-17,complementary
