model,evaluation_structure,MSE,RMSE,MAE,Tail-weighted MAE,OOS R2,Correlation,validation RMSE,selection runtime seconds,refit runtime seconds,parameter count,OOS folds
Historical mean,rolling_5y,0.0001736756652058708,0.013178606345356508,0.00858111049955441,0.012224547567057745,0.0,-0.02583916512545347,0.012080997855830956,0.028908499982208014,0.015349599940236658,,7
Choquet 1-additive scaled-q,rolling_5y,0.0001736756652058708,0.013178606345356508,0.00858111049955441,0.012224547567057745,0.0,-0.02583916512545347,0.012080997855830956,0.31535849993815646,0.29752770002232864,12.0,7
Choquet 2-additive scaled-q,rolling_5y,0.0001736756652058708,0.013178606345356508,0.00858111049955441,0.012224547567057745,0.0,-0.02583916512545347,0.012080997855830956,0.4081059999880381,0.3835805000271648,57.0,7
Choquet 2-additive scaled-q L1,rolling_5y,0.00017367566520587577,0.013178606345356695,0.008581110499553773,0.012224547567060092,-2.864375403532904e-14,-0.025839165125173737,0.01208099785583045,1.6883017999934964,0.39788459992269054,57.0,7
Lasso,rolling_5y,0.00017440207904833926,0.013206137930838798,0.008618676441039076,0.012222042723623093,-0.004182588514098251,-0.002870071650485429,0.012029720980487435,0.10958160000154749,0.01641330000711605,11.0,7
Choquet model aggregator,rolling_5y,0.00017545404407428005,0.013245906691286937,0.008674551775213176,0.012039243628763232,-0.010239654854934388,0.042310211681096964,0.0121459553323746,1.0768049999605864,0.0,66.0,7
Random forest,rolling_5y,0.00017622573855549352,0.013275004277042382,0.00855635054896204,0.012304074029066366,-0.014682962904445818,0.004042939222317983,0.012058135518246388,12.577664500044193,1.612000600027386,,7
Elastic net,rolling_5y,0.00017637858785444162,0.013280760063130484,0.00872112318811754,0.012356760657373424,-0.015563047623090132,0.00876790716039839,0.012150914551360014,0.2430837998399511,0.016601899988017976,11.0,7
Monotone linear,rolling_5y,0.00017805734569243634,0.013343813011745793,0.008792746222586637,0.012362221493700932,-0.025229098626866397,-0.0017118037590233628,0.012284414305861264,0.039721300068777055,0.02360039995983243,11.0,7
MLP,rolling_5y,0.0001782678040924903,0.013351696674673608,0.008759257521605286,0.01212011657715082,-0.026440888429453357,0.03554819467827436,0.012219570310344914,101.15771680010948,0.12493290001293644,97.0,7
Gradient boosting,rolling_5y,0.00017970415804297016,0.013405377952261181,0.008790068681972428,0.01224949493148636,-0.03471121201668259,0.05237543527314716,0.01227825683728373,6.401822799991351,0.5334398000850342,,7
Ridge,rolling_5y,0.00018272795778413373,0.0135176905492075,0.009019622824824793,0.012396335152669538,-0.052121824710056774,0.0223285006483761,0.012596032802330228,0.10898329992778599,0.016259600000921637,11.0,7
OLS,rolling_5y,0.0001833335931038304,0.013540073600384542,0.009043180690403248,0.01240830664691226,-0.055608987514234265,0.022111942782232198,0.012652518406175626,0.030310999951325357,0.019115899864118546,11.0,7
OLS oriented,rolling_5y,0.0001833335931038304,0.013540073600384542,0.009043180690403248,0.01240830664691226,-0.055608987514234265,0.022111942782232198,0.012652518406175626,0.04139190004207194,0.025610599957872182,11.0,7
Fuzzy Choquet neural network,rolling_5y,0.00018383172302019563,0.013558455775647743,0.008980218081227927,0.012550934384695116,-0.05847714935933079,-0.02664665845677441,0.01320218436343196,2.377224900003057,0.5118140000849962,154.0,7
Choquet 2-additive L1,rolling_5y,0.00024032708434367246,0.015502486392307283,0.010621182975096817,0.01387742738973765,-0.3837694766206581,-0.06062157612780192,0.014326321266929723,20.737057900056243,5.218943299958482,56.0,7
Choquet 1-additive,rolling_5y,0.0002422692059006493,0.01556499938646479,0.010587256322130256,0.013604529767236395,-0.3949519387962006,-0.05173578575843389,0.014538005523827852,1.3759528000373393,1.02218269999139,11.0,7
Choquet 2-additive,rolling_5y,0.00024326608373900167,0.015596989572959317,0.010756287948922753,0.014010595509883823,-0.40069182087565425,-0.058789029737301976,0.014637346321181256,5.231835199985653,5.028977999987546,56.0,7
Explicit interactions,rolling_5y,0.000345432632138894,0.01858581803792596,0.011330166680579722,0.013383645064591812,-0.9889524057928711,0.030107552386197337,0.015633963122655997,0.14196990005439147,0.02360189997125417,56.0,7
