,Shapley importance
liquidity_stress_20d,0.3368150707158426
baa_credit_spread_pct,0.2753195356130874
negative_momentum_21d,0.11097859875454791
term_spread_10y_2y_pct,0.09047873198503407
market_loss_1d,0.06764898139690308
lagged_portfolio_loss_1d,0.06424833532837834
realized_volatility_20d,0.0545107462062118
average_equity_correlation_60d,-1.5485401505997937e-15
drawdown_severity,-1.5759967577775323e-15
vix,-3.111293018968983e-15
