fold,evaluation_structure,window start,train start,train end,train observations,validation start,validation end,validation observations,OOS start,OOS end,OOS observations
0,rolling_5y,2015-01-01,2015-01-02,2016-06-29,376,2016-07-01,2017-12-28,377,2020-01-02,2020-12-31,253
1,rolling_5y,2016-01-01,2016-01-04,2017-06-29,376,2017-07-03,2018-12-28,376,2021-01-04,2021-12-31,252
2,rolling_5y,2017-01-01,2017-01-03,2018-06-28,375,2018-07-02,2019-12-30,377,2022-01-03,2022-12-30,251
3,rolling_5y,2018-01-01,2018-01-02,2019-06-27,374,2019-07-01,2020-12-30,380,2023-01-03,2023-12-29,250
4,rolling_5y,2019-01-01,2019-01-02,2020-06-29,376,2020-07-01,2021-12-30,379,2024-01-02,2024-12-31,252
5,rolling_5y,2020-01-01,2020-01-02,2021-06-29,376,2021-07-01,2022-12-29,378,2025-01-02,2025-12-31,250
6,rolling_5y,2021-01-01,2021-01-04,2022-06-29,375,2022-07-01,2023-12-28,376,2026-01-02,2026-07-29,143
