model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.22626476776131882,0.650869864774239,0.4580789571175879,0.05054811205846529,0.4075308450591226,0.4075308450591226
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.1940323848969699,0.5890088932718822,0.3826999588736775,0.05054811205846529,0.33215184681521226,0.33215184681521226
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.05083964425133153,0.20691335655233675,0.07077591063985571,0.05054811205846529,0.02022779858139042,0.02022779858139042
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.04853858315401079,0.21290169492614164,0.04811366872739783,0.05054811205846529,-0.0024344433310674596,0.0024344433310674596
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.05117861651362152,0.21526618777957884,0.06916012643778559,0.05054811205846529,0.0186120143793203,0.0186120143793203
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.08248933790503213,0.2980516546321949,0.11290596489554783,0.05054811205846529,0.06235785283708254,0.06235785283708254
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.05464868670749135,0.23670854044026335,0.060618129916993176,0.05054811205846529,0.010070017858527888,0.010070017858527888
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.05355296127817649,0.2957213385707487,0.027543961478423664,0.05054811205846529,-0.023004150580041623,0.023004150580041623
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.05226928346552787,0.3145630886809498,0.04085684819731355,0.05054811205846529,-0.009691263861151739,0.009691263861151739
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.0496488602280257,0.20684055884714425,0.06068732333820999,0.05054811205846529,0.010139211279744702,0.010139211279744702
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.08456137287581886,0.3058405065326039,0.12222220837186261,0.05054811205846529,0.07167409631339733,0.07167409631339733
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.08456137287581886,0.3058405065326039,0.12222220837186261,0.05054811205846529,0.07167409631339733,0.07167409631339733
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.04833902223645109,0.21019016195223192,0.04122912360889296,0.05054811205846529,-0.009318988449572324,0.009318988449572324
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.06367212847129995,0.24794825317894506,0.0875478260390616,0.05054811205846529,0.03699971398059631,0.03699971398059631
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.06367212847129995,0.24794825317894506,0.0875478260390616,0.05054811205846529,0.03699971398059631,0.03699971398059631
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.04973788560466294,0.21042306773310543,0.05696093407312188,0.05054811205846529,0.006412822014656594,0.006412822014656594
