model,base model,class weight,probability calibration,evaluation_structure,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap
Choquistic 2-additive [balanced],Choquistic 2-additive,balanced,uncalibrated,rolling_5y,0.20033670853460195,0.6168042034667665,0.4053105758029289,0.03270745003028468,0.3726031257726442,0.3726031257726442
Choquistic 2-additive [balanced] [sigmoid],Choquistic 2-additive,balanced,sigmoid,rolling_5y,0.031198701981102674,0.13650470163784187,0.03513559921855025,0.03270745003028468,0.0024281491882655742,0.0024281491882655742
Choquistic 2-additive [unweighted],Choquistic 2-additive,unweighted,uncalibrated,rolling_5y,0.03152526133952668,0.13742738689519554,0.03619866858555444,0.03270745003028468,0.003491218555269765,0.003491218555269765
Choquistic 2-additive [unweighted] [sigmoid],Choquistic 2-additive,unweighted,sigmoid,rolling_5y,0.031150286075011413,0.13753311776745536,0.03657447973778904,0.03270745003028468,0.0038670297075043616,0.0038670297075043616
Choquistic 1-additive [balanced],Choquistic 1-additive,balanced,uncalibrated,rolling_5y,0.24562048974484046,0.7312258300677751,0.4508116276787984,0.03270745003028468,0.4181041776485137,0.4181041776485137
Penalized logistic [balanced],Penalized logistic,balanced,uncalibrated,rolling_5y,0.4123499143066248,1.1344040596023548,0.6144721679499178,0.03270745003028468,0.5817647179196331,0.5817647179196331
Choquistic 1-additive [unweighted],Choquistic 1-additive,unweighted,uncalibrated,rolling_5y,0.03235520591003839,0.14300799395517766,0.045515327905248926,0.03270745003028468,0.012807877874964249,0.012807877874964249
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,rolling_5y,0.03133010453054565,0.14069209502111515,0.02662563083629654,0.03270745003028468,-0.006081819193988137,0.006081819193988137
Choquistic 1-additive [balanced] [sigmoid],Choquistic 1-additive,balanced,sigmoid,rolling_5y,0.03136190015005932,0.14015380245686984,0.026632504767445834,0.03270745003028468,-0.006074945262838843,0.006074945262838843
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,rolling_5y,0.13207215106332618,0.41970268375212005,0.2649249661303452,0.03270745003028468,0.23221751610006053,0.23221751610006053
Choquistic model aggregator [balanced],Choquistic model aggregator,balanced,uncalibrated,rolling_5y,0.25872395196444653,0.7175596205010797,0.4359498328829327,0.03270745003028468,0.403242382852648,0.403242382852648
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,rolling_5y,0.047586322750927265,0.20123104876466358,0.06982597023028736,0.03270745003028468,0.03711852020000268,0.03711852020000268
Choquistic model aggregator [balanced] [sigmoid],Choquistic model aggregator,balanced,sigmoid,rolling_5y,0.03202972392387271,0.1478042556921457,0.036534458815520095,0.03270745003028468,0.003827008785235418,0.003827008785235418
Choquistic model aggregator [unweighted],Choquistic model aggregator,unweighted,uncalibrated,rolling_5y,0.06689730176540697,0.24108653295981694,0.1257937817870097,0.03270745003028468,0.09308633175672502,0.09308633175672502
Penalized logistic [unweighted],Penalized logistic,unweighted,uncalibrated,rolling_5y,0.07587429641061942,0.2628590457527921,0.1355688894562412,0.03270745003028468,0.10286143942595653,0.10286143942595653
Penalized logistic [balanced] [sigmoid],Penalized logistic,balanced,sigmoid,rolling_5y,0.031968105607358265,0.1467698382686411,0.03751597695047048,0.03270745003028468,0.004808526920185803,0.004808526920185803
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,rolling_5y,0.577289933476098,2.3246207988420564,0.7207103433226634,0.03270745003028468,0.6880028932923787,0.6880028932923787
Logistic [balanced],Logistic,balanced,uncalibrated,rolling_5y,0.577289933476098,2.3246207988420564,0.7207103433226634,0.03270745003028468,0.6880028932923787,0.6880028932923787
Logistic oriented [unweighted] [sigmoid],Logistic oriented,unweighted,sigmoid,rolling_5y,0.03283477520270903,0.1523557018765308,0.04521570113401855,0.03270745003028468,0.012508251103733874,0.012508251103733874
Logistic [unweighted] [sigmoid],Logistic,unweighted,sigmoid,rolling_5y,0.03283477520270903,0.1523557018765308,0.04521570113401855,0.03270745003028468,0.012508251103733874,0.012508251103733874
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,rolling_5y,0.031880321404399975,0.14689125997800928,0.03429415421636411,0.03270745003028468,0.001586704186079431,0.001586704186079431
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,rolling_5y,0.032224730364621444,0.1472232667205076,0.03803241856611483,0.03270745003028468,0.0053249685358301505,0.0053249685358301505
Penalized logistic [unweighted] [sigmoid],Penalized logistic,unweighted,sigmoid,rolling_5y,0.03234985035531121,0.15026486663551256,0.03822416074617007,0.03270745003028468,0.005516710715885394,0.005516710715885394
Logistic oriented [balanced] [sigmoid],Logistic oriented,balanced,sigmoid,rolling_5y,0.03216640633813784,0.1487917089245548,0.039854172140218365,0.03270745003028468,0.007146722109933688,0.007146722109933688
Logistic [balanced] [sigmoid],Logistic,balanced,sigmoid,rolling_5y,0.03216640633813784,0.1487917089245548,0.039854172140218365,0.03270745003028468,0.007146722109933688,0.007146722109933688
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,rolling_5y,0.031793594158328484,0.1470515896333134,0.03262451106281962,0.03270745003028468,-8.293896746505713e-05,8.293896746505713e-05
Logistic [unweighted],Logistic,unweighted,uncalibrated,rolling_5y,0.2174941829793438,0.7226936997558403,0.2962815892431695,0.03270745003028468,0.2635741392128848,0.2635741392128848
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,rolling_5y,0.2174941829793438,0.7226936997558403,0.2962815892431695,0.03270745003028468,0.2635741392128848,0.2635741392128848
