first,second,interaction,interpretation
Rolling prior probability,Explicit interactions [balanced],0.07753736692627522,complementary
Explicit interactions [balanced],MLP [balanced],0.07675731521345316,complementary
Rolling prior probability,Gradient boosting [balanced],0.07006682729702823,complementary
Explicit interactions [balanced],Gradient boosting [balanced],0.06172796461215546,complementary
Rolling prior probability,MLP [balanced],0.04396267782361343,complementary
Gradient boosting [balanced],MLP [balanced],0.021056859601146574,complementary
Rolling prior probability,Random forest [balanced],-1.5866865126329765e-16,redundant
Random forest [balanced],MLP [balanced],1.4176185885110864e-16,complementary
Explicit interactions [balanced],RBF SVM [balanced],-1.2288340205298027e-16,redundant
Logistic oriented [balanced],MLP [balanced],-1.0967287069478883e-16,redundant
Logistic oriented [balanced],Gradient boosting [balanced],7.240700957892902e-17,complementary
Logistic [balanced],Logistic oriented [balanced],6.48266209304793e-17,complementary
