fold,model,message
0,Choquet linear classifier,RuntimeError: Every configuration failed for Choquet linear classifier: ['params={}: RuntimeError: Choquet classification optimization failed: pymoo did not return a candidate solution. Maximum constraint violation: 0.0.']
2,Choquistic model aggregator [balanced],"ValueError: Breach in monotonicity: adding element 0 to event {3, 4} has marginal value -3.894499590303751e-09."
