model,reference,mean loss difference,standard error,lower 95%,upper 95%,favors model
Historical mean,Choquet 2-additive,-0.00020807710909805576,7.811893016252879e-05,-0.0003611873987274119,-5.496681946869962e-05,True
Choquet 1-additive scaled-q,Choquet 2-additive,-0.00020807710909805576,7.811893016252879e-05,-0.0003611873987274119,-5.496681946869962e-05,True
Choquet 2-additive scaled-q,Choquet 2-additive,-0.00020807710909805576,7.811893016252879e-05,-0.0003611873987274119,-5.496681946869962e-05,True
Choquet 2-additive scaled-q L1,Choquet 2-additive,-0.00020807710909799253,7.811893016255118e-05,-0.0003611873987273926,-5.49668194685925e-05,True
Monotone linear,Choquet 2-additive,-0.0001669016220777507,6.905299294344413e-05,-0.0003022430012715997,-3.1560242883901714e-05,True
Lasso,Choquet 2-additive,-0.0001174497373442392,8.395588837219633e-05,-0.0002820002548438091,4.710078015533071e-05,True
Random forest,Choquet 2-additive,-0.00011702396859269461,0.00010276924885364127,-0.00031844799506406573,8.44000578786765e-05,True
Choquet model aggregator,Choquet 2-additive,-9.343576422843049e-05,9.223440690050579e-05,-0.00027421187988883444,8.734035143197349e-05,True
Elastic net,Choquet 2-additive,-3.666123080226232e-05,9.168177046490183e-05,-0.00021635419895233796,0.00014303173734781332,True
Choquet 2-additive L1,Choquet 2-additive,-2.1531827583185623e-05,3.620086801718818e-05,-9.248422510596238e-05,4.942056993959114e-05,True
Gradient boosting,Choquet 2-additive,-1.621892463775978e-05,0.00012437061391957122,-0.0002599808486552553,0.00022754299937973574,True
Choquet 1-additive,Choquet 2-additive,-2.190362564113995e-06,4.7680674089657016e-05,-9.564276653843387e-05,9.126204141020589e-05,True
Fuzzy Choquet neural network,Choquet 2-additive,6.905733144442978e-05,0.0002151096751027605,-0.0003525498844830932,0.0004906645473719527,False
Ridge,Choquet 2-additive,0.00012982760508870508,9.980173358899916e-05,-6.578019834039466e-05,0.0003254354085178048,False
OLS,Choquet 2-additive,0.00015207382413107596,0.00010169153279480063,-4.723791767940707e-05,0.000351385565941559,False
OLS oriented,Choquet 2-additive,0.00015207382413107596,0.00010169153279480063,-4.723791767940707e-05,0.000351385565941559,False
MLP,Choquet 2-additive,0.003193026201453619,0.0008037072787269119,0.001617788881036177,0.00476826352187106,False
Explicit interactions,Choquet 2-additive,0.005982158467773468,0.0032664012227926506,-0.0004198702879577203,0.012384187223504657,False
