first,second,interaction,interpretation
Historical mean,OLS,-8.326672684688672e-18,redundant
Historical mean,OLS oriented,-8.326672684688672e-18,redundant
Historical mean,Monotone linear,-8.326672684688672e-18,redundant
Historical mean,Ridge,-8.326672684688672e-18,redundant
Historical mean,Lasso,-8.326672684688672e-18,redundant
Historical mean,Elastic net,-8.326672684688672e-18,redundant
Historical mean,Explicit interactions,-8.326672684688672e-18,redundant
Historical mean,Random forest,-8.326672684688672e-18,redundant
Historical mean,Gradient boosting,-8.326672684688672e-18,redundant
Historical mean,MLP,-8.326672684688672e-18,redundant
OLS,OLS oriented,-8.326672684688672e-18,redundant
OLS,Monotone linear,-8.326672684688672e-18,redundant
