asset,sample,feature,clipping enabled,raw minimum,lower clipping bound,raw maximum,upper clipping bound,below-bound observations,above-bound observations,clipped observations,clipped rate
KO,test,size_spread,False,-0.029405444657308877,-inf,0.04397288941072741,inf,0,0,0,0.0
KO,test,value_growth_spread,False,-0.034832941481606206,-inf,0.046914851288716086,inf,0,0,0,0.0
KO,test,momentum_spread,False,-0.042562810079078695,-inf,0.0372115581480017,inf,0,0,0,0.0
KO,test,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
KO,test,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
MSFT,estimation,market_excess_return,False,-0.060492939552958716,-inf,0.09969374076671228,inf,0,0,0,0.0
MSFT,estimation,sector_excess_return,False,-0.07085647267085349,-inf,0.12580917869687008,inf,0,0,0,0.0
MSFT,estimation,size_spread,False,-0.029046510168316608,-inf,0.04397288941072741,inf,0,0,0,0.0
MSFT,estimation,value_growth_spread,False,-0.034832941481606206,-inf,0.04660513932346255,inf,0,0,0,0.0
MSFT,estimation,momentum_spread,False,-0.03373271372991482,-inf,0.03464711362990425,inf,0,0,0,0.0
MSFT,estimation,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
MSFT,estimation,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
MSFT,test,market_excess_return,False,-0.11589615746190164,-inf,0.09969374076671228,inf,0,0,0,0.0
MSFT,test,sector_excess_return,False,-0.1486711224578722,-inf,0.12580917869687008,inf,0,0,0,0.0
MSFT,test,size_spread,False,-0.029405444657308877,-inf,0.04397288941072741,inf,0,0,0,0.0
MSFT,test,value_growth_spread,False,-0.034832941481606206,-inf,0.046914851288716086,inf,0,0,0,0.0
MSFT,test,momentum_spread,False,-0.042562810079078695,-inf,0.0372115581480017,inf,0,0,0,0.0
MSFT,test,quality_spread,False,-0.016625120716701858,-inf,0.014470133348779335,inf,0,0,0,0.0
MSFT,test,low_volatility_spread,False,-0.049189834087693285,-inf,0.03873740109844359,inf,0,0,0,0.0
NVDA,estimation,market_excess_return,False,-0.060492939552958716,-inf,0.09969374076671228,inf,0,0,0,0.0
