model,fit observations,extreme fit observations removed,extreme fit rate,test observations,stress test observations,full-fit test RMSE,reduced-fit test RMSE,test RMSE change,mean absolute prediction change,maximum absolute prediction change,full-fit stress RMSE,reduced-fit stress RMSE,stress mean absolute prediction change,failure
OLS,1245,123,0.09879518072289156,139,80,0.017834241455289217,0.017375294186255125,-0.00045894726903409136,0.0010004061508851218,0.004485189752344396,0.017202598779014863,0.01663667518326697,0.0009676183113877304,
Ridge,1245,123,0.09879518072289156,139,80,0.017738829379803856,0.017298447781897354,-0.0004403815979065022,0.0009951764873514632,0.004400354469511937,0.0170106732684406,0.016476143255804866,0.0009522717865607016,
Lasso,1245,123,0.09879518072289156,139,80,0.016382724037557125,0.016207211131791084,-0.00017551290576604123,0.0007663864903496468,0.0029964631585897954,0.014347541523814495,0.014105202779390499,0.000733262860934354,
Monotone linear,1245,123,0.09879518072289156,139,80,0.016347108011786085,0.01635195672214819,4.848710362104214e-06,0.0006791508118245309,0.0010831127213272057,0.014104644552526016,0.014325513231584262,0.000719275013832221,
Gradient boosting,1245,123,0.09879518072289156,139,80,0.015350701067076544,0.01640218863291162,0.001051487565835077,0.006173102873618727,0.01808123337863456,0.013473591962093134,0.01618705749180567,0.008625841996127773,
Choquet 1-additive,1245,123,0.09879518072289156,139,80,0.01642201072117103,0.017243283328343736,0.0008212726071727058,0.00207122964644318,0.004070144509138457,0.014644355656350442,0.01561140687468777,0.001960316210931622,
Choquet 1-additive scaled-q,1245,123,0.09879518072289156,139,80,0.016171962198032633,0.016193528379510772,2.1566181478138713e-05,0.0007024252109886922,0.0007024252109886922,0.013887981397912164,0.01409695968967105,0.0007024252109886922,
Choquet 2-additive,1245,123,0.09879518072289156,139,80,0.016775711826357825,0.01789702589921766,0.0011213140728598345,0.001944117844918817,0.009314984275052392,0.015444386941679749,0.016424648952253082,0.0014969527959506075,
Choquet 2-additive L1,1245,123,0.09879518072289156,139,80,0.016288673641933905,0.016966576183416057,0.0006779025414821518,0.0015798865302732138,0.00480805297788843,0.01461597402732246,0.015253446586970627,0.001287049534600623,
Choquet 2-additive scaled-q,1245,123,0.09879518072289156,139,80,0.016171962198032633,0.016193528379510772,2.1566181478138713e-05,0.0007024252109886922,0.0007024252109886922,0.013887981397912164,0.01409695968967105,0.0007024252109886922,
Choquet 2-additive scaled-q L1,1245,123,0.09879518072289156,139,80,0.016171962198032633,0.016193528379510772,2.1566181478138713e-05,0.0007024252109886922,0.0007024252109886922,0.013887981397912164,0.01409695968967105,0.0007024252109886922,
