fold,model,probability calibration,threshold source,calibration runtime seconds,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,base model,class weight,validation PR AUC,selection runtime seconds,refit runtime seconds,parameter count,calibration observations,calibration event prevalence,evaluation_structure
0,Choquistic 1-additive [balanced],uncalibrated,selection validation,0.0,0.29506437768240346,0.0576284246022532,0.07905138339920949,1.0,0.14652014652014653,0.2438137387468992,0.6880629768276042,0.44069705718011354,0.07905138339920949,0.36164567378090406,0.36164567378090406,0.022761149784320176,1.0,0.07905138339920949,Choquistic 1-additive,balanced,0.008081312704440015,0.3508039000444114,0.3017498000408523,12.0,493,0.060851926977687626,rolling_5y
0,Choquistic 1-additive [balanced] [sigmoid],sigmoid,calibration,0.01253450004151091,0.7049356223175965,0.17783977256955447,0.0,0.0,0.0,0.07373464228153012,0.29397223630590874,0.02579721403042436,0.07905138339920949,-0.05325416936878513,0.05325416936878513,0.10069931720398827,0.0,0.07905138339920949,Choquistic 1-additive,balanced,0.008081312704440015,0.3508039000444114,0.3017498000408523,12.0,493,0.060851926977687626,rolling_5y
0,Choquistic 1-additive [unweighted],uncalibrated,selection validation,0.0,0.32832618025751076,0.06256328773259419,0.07203389830508475,0.85,0.1328125,0.07773843187656017,0.3776705518466894,0.022894884013209896,0.07905138339920949,-0.05615649938599959,0.05615649938599959,0.005532119167933788,0.932806324110672,0.07905138339920949,Choquistic 1-additive,unweighted,0.008047240389368417,0.2403397000161931,0.2977786000119522,12.0,493,0.060851926977687626,rolling_5y
0,Choquistic 1-additive [unweighted] [sigmoid],sigmoid,calibration,0.012905700015835464,0.6716738197424893,0.16880673520442716,0.0,0.0,0.0,0.07370585952587674,0.29375950060120953,0.02870719175585572,0.07905138339920949,-0.05034419164335377,0.05034419164335377,0.0862588670801834,0.0,0.07905138339920949,Choquistic 1-additive,unweighted,0.008047240389368417,0.2403397000161931,0.2977786000119522,12.0,493,0.060851926977687626,rolling_5y
0,Choquistic 2-additive [balanced],uncalibrated,selection validation,0.0,0.49034334763948495,0.11546950519225066,0.07905138339920949,1.0,0.14652014652014653,0.10478543537293837,0.3701479281779339,0.21802366002776205,0.07905138339920949,0.13897227662855255,0.13897227662855255,0.000513072241586762,1.0,0.07905138339920949,Choquistic 2-additive,balanced,0.008292253881704854,1.0634871000074781,1.0708831999800168,57.0,493,0.060851926977687626,rolling_5y
0,Choquistic 2-additive [balanced] [sigmoid],sigmoid,calibration,0.013800599961541593,0.509656652360515,0.1536056806472681,0.3333333333333333,0.05,0.08695652173913043,0.07380624157024113,0.29230169231582426,0.05105570853607629,0.07905138339920949,-0.027995674863133195,0.027995674863133195,0.08676167749663537,0.011857707509881422,0.07905138339920949,Choquistic 2-additive,balanced,0.008292253881704854,1.0634871000074781,1.0708831999800168,57.0,493,0.060851926977687626,rolling_5y
0,Choquistic 2-additive [unweighted],uncalibrated,selection validation,0.0,0.3263948497854077,0.06741168044196111,0.07905138339920949,1.0,0.14652014652014653,0.07782454499913201,0.3921885896953834,0.016693890543143162,0.07905138339920949,-0.06235749285606633,0.06235749285606633,0.0005799127911893886,1.0,0.07905138339920949,Choquistic 2-additive,unweighted,0.008667997721379425,1.1733060000115074,0.9516205000109039,57.0,493,0.060851926977687626,rolling_5y
0,Choquistic 2-additive [unweighted] [sigmoid],sigmoid,calibration,0.014635599975008518,0.6736051502145922,0.2151090284102555,0.0,0.0,0.0,0.07322461426234615,0.3023295323123775,0.024592344159771563,0.07905138339920949,-0.05445903923943793,0.05445903923943793,0.15858674302641723,0.0,0.07905138339920949,Choquistic 2-additive,unweighted,0.008667997721379425,1.1733060000115074,0.9516205000109039,57.0,493,0.060851926977687626,rolling_5y
0,Choquistic model aggregator [balanced],uncalibrated,selection validation,0.0,0.42060085836909866,0.06845457149110587,0.0,0.0,0.0,0.08348685696817879,0.32047063441711254,0.13959963215497104,0.07905138339920949,0.06054824875576155,0.06054824875576155,0.20823534002009075,0.15810276679841898,0.07905138339920949,Choquistic model aggregator,balanced,0.011321112174215848,0.007201800006441772,0.0,15.0,493,0.060851926977687626,rolling_5y
0,Choquistic model aggregator [balanced] [sigmoid],sigmoid,calibration,0.00828960002399981,0.5793991416309013,0.10290663589429762,0.12857142857142856,0.45,0.2,0.07290256083781915,0.2783915688005647,0.05438600785504676,0.07905138339920949,-0.024665375544162725,0.024665375544162725,0.0688567548894534,0.2766798418972332,0.07905138339920949,Choquistic model aggregator,balanced,0.011321112174215848,0.007201800006441772,0.0,15.0,493,0.060851926977687626,rolling_5y
0,Choquistic model aggregator [unweighted],uncalibrated,selection validation,0.0,0.6004291845493562,0.12512186609671727,0.12162162162162163,0.45,0.19148936170212766,0.07379003839145808,0.28560454956526227,0.04755976561002522,0.07905138339920949,-0.031491617789184266,0.031491617789184266,0.04756550276552724,0.2924901185770751,0.07905138339920949,Choquistic model aggregator,unweighted,0.017699115044247787,0.00904360000276938,0.0,15.0,493,0.060851926977687626,rolling_5y
0,Choquistic model aggregator [unweighted] [sigmoid],sigmoid,calibration,0.009935300040524453,0.39957081545064377,0.0659238484495573,0.06896551724137931,0.3,0.11214953271028037,0.07326814647095284,0.28027679389156374,0.06119492939342729,0.07905138339920949,-0.017856454005782195,0.017856454005782195,0.06259844929524426,0.3438735177865613,0.07905138339920949,Choquistic model aggregator,unweighted,0.017699115044247787,0.00904360000276938,0.0,15.0,493,0.060851926977687626,rolling_5y
0,Gradient boosting [balanced],uncalibrated,selection validation,0.0,0.4228540772532189,0.07212958657395008,0.05555555555555555,0.1,0.07142857142857142,0.07528342103510637,0.3053449153974216,0.036895442306712864,0.07905138339920949,-0.042155941092496624,0.042155941092496624,0.051282378676002376,0.1422924901185771,0.07905138339920949,Gradient boosting,balanced,0.021390374331550804,0.5996252999757417,0.0716536000254564,,493,0.060851926977687626,rolling_5y
0,Gradient boosting [balanced] [sigmoid],sigmoid,calibration,0.019546299998182803,0.5771459227467811,0.09584257483562812,0.1038961038961039,0.4,0.16494845360824742,0.07328781352320798,0.28069675620900153,0.05505020546357463,0.07905138339920949,-0.02400117793563486,0.02400117793563486,0.06240212712452272,0.30434782608695654,0.07905138339920949,Gradient boosting,balanced,0.021390374331550804,0.5996252999757417,0.0716536000254564,,493,0.060851926977687626,rolling_5y
0,Gradient boosting [unweighted],uncalibrated,selection validation,0.0,0.38412017167381973,0.06366724489951105,0.0,0.0,0.0,0.0789099508198068,0.5581254289519125,0.0011895361879411717,0.07905138339920949,-0.07786184721126832,0.07786184721126832,0.0016408708461484037,0.20553359683794467,0.07905138339920949,Gradient boosting,unweighted,0.017699115044247787,0.5766531000263058,0.05736569996224716,,493,0.060851926977687626,rolling_5y
0,Gradient boosting [unweighted] [sigmoid],sigmoid,calibration,0.017843999958131462,0.6158798283261802,0.09847490611063128,0.11764705882352941,0.6,0.19672131147540983,0.0732111851232473,0.27963994716397905,0.05833234664220486,0.07905138339920949,-0.02071903675700463,0.02071903675700463,0.057822104144250965,0.4031620553359684,0.07905138339920949,Gradient boosting,unweighted,0.017699115044247787,0.5766531000263058,0.05736569996224716,,493,0.060851926977687626,rolling_5y
0,Logistic [balanced],uncalibrated,selection validation,0.0,0.561587982832618,0.16515876174460112,0.07905138339920949,1.0,0.14652014652014653,0.08368774182799593,0.8271142854421772,0.06780815560337483,0.07905138339920949,-0.011243227795834657,0.011243227795834657,1.3992400666761971e-27,1.0,0.07905138339920949,Logistic,balanced,0.009995907343703802,0.0095875000115484,0.007252699986565858,11.0,493,0.060851926977687626,rolling_5y
0,Logistic [balanced] [sigmoid],sigmoid,calibration,0.01342790003400296,0.43841201716738193,0.09823420859467251,0.05188679245283019,0.55,0.09482758620689655,0.07362480057117358,0.2833707607923717,0.0722911282096169,0.07905138339920949,-0.006760255189592584,0.006760255189592584,0.056682813752682165,0.8379446640316206,0.07905138339920949,Logistic,balanced,0.009995907343703802,0.0095875000115484,0.007252699986565858,11.0,493,0.060851926977687626,rolling_5y
0,Logistic [unweighted],uncalibrated,selection validation,0.0,0.5515021459227467,0.1726231031605175,0.07905138339920949,1.0,0.14652014652014653,0.0789824460298045,1.0655227680472834,0.00017461812232862623,0.07905138339920949,-0.07887676527688087,0.07887676527688087,2.4349234156035375e-19,1.0,0.07905138339920949,Logistic,unweighted,0.009774061247074882,0.008917399973142892,0.006016300001647323,11.0,493,0.060851926977687626,rolling_5y
0,Logistic [unweighted] [sigmoid],sigmoid,calibration,0.01107349997619167,0.4484978540772532,0.09370514818254887,0.05759162303664921,0.55,0.10426540284360189,0.07318994344728048,0.2797955129382165,0.0648639212802695,0.07905138339920949,-0.014187462118939995,0.014187462118939995,0.059346778302226275,0.7549407114624506,0.07905138339920949,Logistic,unweighted,0.009774061247074882,0.008917399973142892,0.006016300001647323,11.0,493,0.060851926977687626,rolling_5y
