,market_loss_1d,vix,realized_volatility_20d,drawdown_severity,liquidity_stress_20d,baa_credit_spread_pct,term_spread_10y_2y_pct,average_equity_correlation_60d,negative_momentum_21d,lagged_portfolio_loss_1d
market_loss_1d,0.0,-2.9536334660040636e-18,-5.805165849445434e-18,1.3416786765029447e-18,-4.99975852131334e-18,6.488767150768879e-18,2.918668483740097e-17,-1.6959912138426768e-18,-2.523953819313081e-18,-1.9038627794754196e-17
vix,-2.9536334660040636e-18,0.0,-7.39903446877754e-20,-1.6245823028989144e-18,2.931486915675216e-18,2.7865716788706803e-18,-3.920670814433172e-18,5.6860380601462e-19,2.856786676707837e-18,-3.8242972879900135e-18
realized_volatility_20d,-5.805165849445434e-18,-7.39903446877754e-20,0.0,7.303951659206416e-19,-7.23011727614067e-18,2.969756670930211e-18,2.7693244746684934e-18,2.0394402175096864e-19,-1.2838330486891854e-19,2.295717430433556e-18
drawdown_severity,1.3416786765029447e-18,-1.6245823028989144e-18,7.303951659206416e-19,0.0,-1.6208177120222285e-18,-1.5626278930425999e-18,2.5259974543604245e-18,6.305582158709345e-19,-1.5915399509755466e-18,-2.8764270851102033e-18
liquidity_stress_20d,-4.99975852131334e-18,2.931486915675216e-18,-7.23011727614067e-18,-1.6208177120222285e-18,0.0,-3.988204347968732e-17,9.11483280861858e-18,6.624066546876961e-19,2.89086160212881e-18,-5.0025120506403e-18
baa_credit_spread_pct,6.488767150768879e-18,2.7865716788706803e-18,2.969756670930211e-18,-1.5626278930425999e-18,-3.988204347968732e-17,0.0,1.7834367441224224e-17,5.479523360625152e-19,2.4891905115603704e-18,-1.052090212307375e-18
term_spread_10y_2y_pct,2.918668483740097e-17,-3.920670814433172e-18,2.7693244746684934e-18,2.5259974543604245e-18,9.11483280861858e-18,1.7834367441224224e-17,0.0,-1.6959912138426768e-18,-3.316970265473908e-18,-4.0274130997481073e-19
average_equity_correlation_60d,-1.6959912138426768e-18,5.6860380601462e-19,2.0394402175096864e-19,6.305582158709345e-19,6.624066546876961e-19,5.479523360625152e-19,-1.6959912138426768e-18,0.0,6.512096858230395e-19,-3.4673764269714356e-18
negative_momentum_21d,-2.523953819313081e-18,2.856786676707837e-18,-1.2838330486891854e-19,-1.5915399509755466e-18,2.89086160212881e-18,2.4891905115603704e-18,-3.316970265473908e-18,6.512096858230395e-19,0.0,-3.698990191666045e-18
lagged_portfolio_loss_1d,-1.9038627794754196e-17,-3.8242972879900135e-18,2.295717430433556e-18,-2.8764270851102033e-18,-5.0025120506403e-18,-1.052090212307375e-18,-4.0274130997481073e-19,-3.4673764269714356e-18,-3.698990191666045e-18,0.0
