model,feature,training_correlation,absolute_training_correlation,minimum_absolute_correlation,meets_correlation_threshold,subperiod_sign_agreement,sign_stable,stability_required,orientation_supported,orientation_sign,transformation,orientation_training_observations,orientation_source,training_subperiod_1_correlation,training_subperiod_2_correlation,training_subperiod_3_correlation
Logistic oriented [balanced],market_loss_1d,-0.0023739691398727103,0.0023739691398727103,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,-0.08793675899154423,-0.021965188883415573
Logistic oriented [balanced],vix,0.09264464496610592,0.09264464496610592,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,0.0826587653702237,-0.14149232066203482
Logistic oriented [balanced],realized_volatility_20d,0.15445843481231397,0.15445843481231397,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,0.04119552708744845,-0.07120077386366833
Logistic oriented [balanced],drawdown_severity,0.1344460953153022,0.1344460953153022,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,0.008665847176762942,-0.06634515446874605
Logistic oriented [balanced],liquidity_stress_20d,0.002057011255191076,0.002057011255191076,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,-0.0056881302519815975,-0.03820919422837049
Logistic oriented [balanced],baa_credit_spread_pct,-0.0692750030686913,0.0692750030686913,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,-0.16064955530233932,-0.12795970476421975
Logistic oriented [balanced],term_spread_10y_2y_pct,-0.24301033005302905,0.24301033005302905,0.2,True,0.6666666666666666,False,False,True,-1.0,multiplied by -1,375,training only (frozen before validation refit),0.0,-0.007693401761758411,-0.018901434151175563
Logistic oriented [balanced],average_equity_correlation_60d,0.1474707543748578,0.1474707543748578,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,0.04332412962880192,-0.011815638794995002
Logistic oriented [balanced],negative_momentum_21d,0.09479572091925818,0.09479572091925818,0.2,False,0.0,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,-0.03653899349258235,-0.04111151088752376
Logistic oriented [balanced],lagged_portfolio_loss_1d,0.08297592557357399,0.08297592557357399,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,0.13802287553429146,0.03987807286458615
Choquistic 1-additive [balanced],market_loss_1d,-0.0023739691398727103,0.0023739691398727103,0.2,False,0.6666666666666666,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,-0.08793675899154423,-0.021965188883415573
Choquistic 1-additive [balanced],vix,0.09264464496610592,0.09264464496610592,0.2,False,0.3333333333333333,False,False,False,1.0,unchanged (below absolute correlation threshold),375,training only (frozen before validation refit),0.0,0.0826587653702237,-0.14149232066203482
