model,base model,class weight,probability calibration,threshold source,ROC AUC,PR AUC,Precision,Recall,F1,Brier,Log loss,Mean predicted probability,Observed event prevalence,Calibration gap,Absolute calibration gap,Threshold,Predicted event rate,Observed event rate,validation PR AUC,selection runtime seconds,refit runtime seconds,calibration runtime seconds,parameter count,calibration observations,calibration event prevalence,OOS folds
Gradient boosting [unweighted],Gradient boosting,unweighted,uncalibrated,selection validation,0.5370220057720058,0.04192184700557104,0.04078857919782461,0.9523809523809523,0.07822685788787484,0.0583846700711431,0.2648992093388695,0.07081495045733029,0.03825136612021858,0.032563584337111706,0.032563584337111706,0.0021060209105191485,0.8931390406800243,0.03825136612021858,0.04174863585057325,5.206635800001095,0.7424119000061182,0.0,,3486,0.03758952141587518,7
Logistic [balanced],Logistic,balanced,uncalibrated,selection validation,0.45706068622735285,0.039871805911398724,0.03850855745721271,1.0,0.07416127133608005,0.5829310271340324,2.4608702060022436,0.712700788280421,0.03825136612021858,0.6744494221602024,0.6744494221602024,0.03577360368882132,0.9933211900425015,0.03825136612021858,0.03996212020776931,0.08995110000250861,0.058375800002977485,0.0,11.0,3486,0.03758952141587518,7
Logistic oriented [balanced],Logistic oriented,balanced,uncalibrated,selection validation,0.45706068622735285,0.039871805911398724,0.03850855745721271,1.0,0.07416127133608005,0.5829310271340324,2.4608702060022436,0.712700788280421,0.03825136612021858,0.6744494221602024,0.6744494221602024,0.03577360368882132,0.9933211900425015,0.03825136612021858,0.03996212020776931,0.10172769999553566,0.06570260000080452,0.0,11.0,3486,0.03758952141587518,7
Gradient boosting [balanced],Gradient boosting,balanced,uncalibrated,selection validation,0.5034471701138368,0.03868377229607746,0.04,0.9841269841269841,0.07687538747675139,0.06762973079330079,0.2847988644202509,0.08919534932675262,0.03825136612021858,0.05094398320653404,0.05094398320653404,0.002680262569131467,0.9411050394656952,0.03825136612021858,0.04331559395877686,5.262551300002087,0.8008590000026743,0.0,,3486,0.03758952141587518,7
Logistic oriented [unweighted],Logistic oriented,unweighted,uncalibrated,selection validation,0.42398188231521566,0.037492725559949036,0.038196618659987476,0.9682539682539683,0.07349397590361446,0.23935458359493592,0.8643758315906251,0.3062744105370001,0.03825136612021858,0.26802304441678154,0.26802304441678154,0.005687168375604808,0.9696417729204615,0.03825136612021858,0.03872857513194589,0.08410400000138907,0.05826699998942786,0.0,11.0,3486,0.03758952141587518,7
Logistic [unweighted],Logistic,unweighted,uncalibrated,selection validation,0.42398188231521566,0.037492725559949036,0.038196618659987476,0.9682539682539683,0.07349397590361446,0.23935458359493592,0.8643758315906251,0.3062744105370001,0.03825136612021858,0.26802304441678154,0.26802304441678154,0.005687168375604808,0.9696417729204615,0.03825136612021858,0.03872857513194589,0.08404740000332822,0.050457100001949584,0.0,11.0,3486,0.03758952141587518,7
Rolling prior probability [sigmoid],Rolling prior probability,not applicable,sigmoid,calibration,0.45775212441879104,0.037409229905851576,0.03825136612021858,1.0,0.07368421052631578,0.03699676270435635,0.165435692510448,0.03680224709471407,0.03825136612021858,-0.001449119025504507,0.001449119025504507,0.009999999999999998,1.0,0.03825136612021858,0.0317490426236146,0.03565159999561729,0.020045800003572367,0.07107429999814485,,3486,0.03758952141587518,7
Choquistic 1-additive [unweighted] [sigmoid],Choquistic 1-additive,unweighted,sigmoid,calibration,0.5056016514349848,0.037073506690532894,0.06477732793522267,0.5079365079365079,0.11490125673249552,0.03686547832970787,0.162954988414062,0.03623795080387359,0.03825136612021858,-0.0020134153163449894,0.0020134153163449894,0.04563773506384813,0.29993928354584093,0.03825136612021858,0.03920464793173623,2.548211099998298,2.1289066999961506,0.13626640000074985,12.0,3486,0.03758952141587518,7
Gradient boosting [balanced] [sigmoid],Gradient boosting,balanced,sigmoid,calibration,0.5036576078242745,0.03638464885036839,0.048327137546468404,0.4126984126984127,0.08652246256239601,0.03745759254441306,0.16704962082307578,0.04194905070807413,0.03825136612021858,0.0036976845878555487,0.0036976845878555487,0.043347826570628176,0.32665452337583484,0.03825136612021858,0.04331559395877686,5.262551300002087,0.8008590000026743,0.16673929999524262,,3486,0.03758952141587518,7
Rolling prior probability,Rolling prior probability,not applicable,uncalibrated,selection validation,0.4072671156004489,0.033836099014071086,0.03825136612021858,1.0,0.07368421052631578,0.037118974522507515,0.167428250488178,0.035734520127499766,0.03825136612021858,-0.0025168459927188136,0.0025168459927188136,0.009999999999999998,1.0,0.03825136612021858,0.0317490426236146,0.03565159999561729,0.020045800003572367,0.0,,3486,0.03758952141587518,7
Gradient boosting [unweighted] [sigmoid],Gradient boosting,unweighted,sigmoid,calibration,0.36422258297258303,0.029039652075249615,0.030303030303030304,0.3333333333333333,0.05555555555555555,0.03745522278100332,0.1708538390649127,0.038925687460045794,0.03825136612021858,0.0006743213398272135,0.0006743213398272135,0.04448546398232008,0.4207650273224044,0.03825136612021858,0.04174863585057325,5.206635800001095,0.7424119000061182,0.14849080000203685,,3486,0.03758952141587518,7
